Movie Title,YouTube Link,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,
Quiz Lady,https://www.youtube.com/watch?v=4OzaexEqDa8,2023,R,03 Nov 2023,99 min,Comedy,Jessica Yu,Jen D'Angelo,"Awkwafina, Sandra Oh, Will Ferrell",A game-show-obsessed woman and her estranged sister work together to help cover their mother's gambling debts.,English,United States,Won 1 Primetime Emmy. 5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNWIyNjk4OGEtNjQwNS00ZWNjLWJjNjEtY2YyNDMzMjgyMjMwXkEyXkFqcGc@._V1_SX300.jpg,59,6.7,24381,tt13405810,movie,N/A,
No One Will Save You,https://www.youtube.com/watch?v=IcA02w6rm44,2023,PG-13,22 Sep 2023,93 min,"Horror, Mystery, Sci-Fi",Brian Duffield,Brian Duffield,"Kaitlyn Dever, Elizabeth Kaluev, Zack Duhame",An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,English,United States,1 win & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjJhYzMwMjItYTI4MC00N2MxLThhN2UtNjY1MjNiOTE5N2JkXkEyXkFqcGc@._V1_SX300.jpg,60,6.3,73426,tt14509110,movie,N/A,
Vacation Friends 2,https://www.youtube.com/watch?v=lMUu-ag9ofk,2023,R,25 Aug 2023,106 min,"Action, Adventure, Comedy",Clay Tarver,"Clay Tarver, Tom Mullen, Tim Mullen","Lil Rel Howery, Yvonne Orji, John Cena",A couple who meets up with another couple while on vacation in Mexico sees their friendship take an awkward turn when they get back home.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTZhYzliYzktNGQxNC00YTliLWFhNzMtMDY5Y2ZmOTI4ZjNiXkEyXkFqcGc@._V1_SX300.jpg,38,5.4,10101,tt15351980,movie,N/A,
A Haunting In Venice,https://www.youtube.com/watch?v=yEddsSwweyE,2023,PG-13,15 Sep 2023,103 min,"Crime, Drama, Horror",Kenneth Branagh,"Michael Green, Agatha Christie","Kenneth Branagh, Michelle Yeoh, Jamie Dornan","In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.","English, Italian, French, Latin","United Kingdom, Italy, United States",6 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOTgwODdhZTMtYTFiNy00NzI1LTkwZWEtNjI2NWZiMzFmMjJlXkEyXkFqcGc@._V1_SX300.jpg,63,6.5,134149,tt22687790,movie,N/A,
The Creator,https://www.youtube.com/watch?v=ex3C1-5Dhb8,2023,PG-13,29 Sep 2023,133 min,"Action, Adventure, Drama",Gareth Edwards,"Gareth Edwards, Chris Weitz","John David Washington, Madeleine Yuna Voyles, Gemma Chan","Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the robots' secret weapon to end the conflict, an AI in the form of a child.","English, Thai","United States, Cambodia, Japan",Nominated for 2 Oscars. 13 wins & 49 nominations total,https://m.media-amazon.com/images/M/MV5BMDkxMTUxOTQtYzM4Yi00YzA2LTgzOTYtNDg2NTliODE0ZTRjXkEyXkFqcGc@._V1_SX300.jpg,63,6.7,190980,tt11858890,movie,N/A,
White Men Can’t Jump,https://www.youtube.com/watch?v=noxvcFVmG4E,1992,5245,N/A,N/A,N/A,N/A,N/A,"Wesley Snipes, Woody Harrelson",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZTE1ZmEyNDgtMjQyOS00YzUyLTlkMjYtNmJkYWUyZDJjYjczXkEyXkFqcGc@._V1_.jpg,N/A,N/A,N/A,tt0105812,N/A,N/A,
The Boogeyman,https://www.youtube.com/watch?v=cFqCmIU0-_M,2023,PG-13,02 Jun 2023,98 min,"Horror, Mystery, Thriller",Rob Savage,"Scott Beck, Bryan Woods, Mark Heyman","Sophie Thatcher, Chris Messina, Vivien Lyra Blair","Two sisters grieving the recent death of their mother without receiving much support from their father, a therapist who is dealing with his own grief, must face a supernatural entity that feeds on the suffering of its victims.",English,"United States, Canada",3 nominations total,https://m.media-amazon.com/images/M/MV5BNzIzOThmYjAtMTEwMy00ZmEwLWIzOGMtYjZkYmI3ODk0OGQ4XkEyXkFqcGc@._V1_SX300.jpg,55,5.9,49869,tt3427252,movie,N/A,
Boston Strangler,https://www.youtube.com/watch?v=N_yfmHCkSB0,2023,R,17 Mar 2023,112 min,"Crime, Drama, History",Matt Ruskin,Matt Ruskin,"Keira Knightley, Carrie Coon, Chris Cooper",Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.,English,United States,Nominated for 1 Primetime Emmy. 1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BY2ZlNThhOGYtNTUwNC00MWVhLTg2NzQtMWRmOWE2YjFkODZiXkEyXkFqcGc@._V1_SX300.jpg,58,6.5,38000,tt2560078,movie,N/A,
Titanic 25th Anniversary,https://www.youtube.com/watch?v=I7c1etV7D7g,1997,434,N/A,N/A,N/A,N/A,N/A,"Leonardo DiCaprio, Kate Winslet",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYzYyN2FiZmUtYWYzMy00MzViLWJkZTMtOGY1ZjgzNWMwN2YxXkEyXkFqcGc@._V1_.jpg,N/A,N/A,N/A,tt0120338,N/A,N/A,
Darby and the Dead,https://www.youtube.com/watch?v=B34KREZ-r0E,2022,PG-13,02 Dec 2022,100 min,"Comedy, Drama, Fantasy",Silas Howard,"Becca Greene, Wenonah Wilms","Riele Downs, Auli'i Cravalho, Chosen Jacobs",Darby Harper was granted the ability to see ghosts after suffering a near death experience in her childhood. She runs a side business counseling local spirits in her spare time.,English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BOTBiZWNmZDAtZTRhYi00YmM0LTliMjYtOWRlMDFiNDY3OWNkXkEyXkFqcGc@._V1_SX300.jpg,51,5.6,1687,tt15745226,movie,N/A,
Justin Long's New Movie,https://www.youtube.com/watch?v=zUqIv5PvbGk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rosaline,https://www.youtube.com/watch?v=DVMc3rUXW-A,2022,PG-13,14 Oct 2022,95 min,"Comedy, Romance",Karen Maine,"Scott Neustadter, Michael H. Weber, Rebecca Serle","Kaitlyn Dever, Isabela Merced, Sean Teale","A comedic retelling of Shakespeare's ""Romeo and Juliet,"" told from the point of view of Romeo's jilted ex, Rosaline, the woman Romeo first claims to love before he falls for Juliet.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNWFiODU3OGItMzc3Ni00ZDg1LTgwZTktNzJkOGViYjVhY2UxXkEyXkFqcGc@._V1_SX300.jpg,61,6.5,10389,tt1777606,movie,N/A,
Hellraiser,https://www.youtube.com/watch?v=oUlgwJNdu2I,1987,R,18 Sep 1987,94 min,"Horror, Thriller",Clive Barker,Clive Barker,"Andrew Robinson, Clare Higgins, Ashley Laurence","A woman discovers the newly resurrected, partially formed, body of her brother-in-law and lover. She starts killing for him to revitalize his body and escape the demonic beings that are pursuing him after he escaped their underworld.",English,"United Kingdom, United States",2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZGI4MzkzNzQtYjA3MC00ZjE1LWI0NWUtMDdjNWQ3OTgxZTkwXkEyXkFqcGc@._V1_SX300.jpg,56,6.9,150527,tt0093177,movie,N/A,
BRAHMASTRA,https://www.youtube.com/watch?v=g7dTjZuwlAM,1986,N/A,19 Jun 1986,120 min,Action,Perala,"Perala, K.V. Raju, M.S. Anantha Rao","Ambarish, T.N. Balakrishna, Mukhyamantri Chandru",N/A,Kannada,India,N/A,https://imdb.iamidiotareyoutoo.com/photo/tt1394313,N/A,N/A,71,tt1394313,movie,N/A,
Amsterdam,https://www.youtube.com/watch?v=GLs2xxM0e78,2022,R,07 Oct 2022,134 min,"Comedy, Drama, History",David O. Russell,David O. Russell,"Christian Bale, Margot Robbie, John David Washington","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.","English, French, German, Portuguese","United States, Japan",Nominated for 1 BAFTA Award2 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNzgxNTQzYTEtMDI3Yi00OGQ1LWFkNGMtZDEyM2JlYmE0YzUyXkEyXkFqcGc@._V1_SX300.jpg,49,6.1,103954,tt10304142,movie,N/A,
BARBARIAN,https://www.youtube.com/watch?v=Dr89pmKrqkI,2022,R,09 Sep 2022,102 min,"Horror, Mystery, Thriller",Zach Cregger,Zach Cregger,"Georgina Campbell, Bill Skarsgård, Justin Long",A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,English,"Bulgaria, United States",5 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BNWQ5MDgwMzMtNWZhMy00Y2Q4LWI5NTAtODA4MDIzYTExOGQzXkEyXkFqcGc@._V1_SX300.jpg,78,7,244000,tt15791034,movie,N/A,
Prey,https://www.youtube.com/watch?v=wZ7LytagKlc,2022,R,05 Aug 2022,100 min,"Action, Adventure, Horror",Dan Trachtenberg,"Patrick Aison, Dan Trachtenberg, Jim Thomas","Amber Midthunder, Dakota Beavers, Dane DiLiegro","Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.","English, French",United States,Won 1 Primetime Emmy. 12 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMWVjYTBlYjktODhjZS00OTUyLTg4MzctODI4MTkyNDE5YzY0XkEyXkFqcGc@._V1_SX300.jpg,71,7.1,258721,tt11866324,movie,N/A,
The Princess,https://www.youtube.com/watch?v=6kFCkfdOfMU,2022,R,01 Jul 2022,94 min,"Action, Drama, Fantasy",Le-Van Kiet,"Ben Lustig, Jake Thornton","Joey King, Olga Kurylenko, Antoni Davidov","When a strong-willed princess refuses to wed the cruel sociopath, she is kidnapped and locked in a remote tower of her father’s castle. With her vindictive suitor intent on taking her father’s throne, the princess must save the ki...",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BNDY3YjFmZGMtYTY4ZS00NTc1LWE5ZGUtNDAyNWYxZDBhZGI5XkEyXkFqcGc@._V1_SX300.jpg,43,5.7,16477,tt13406136,movie,N/A,
The Bob's Burgers Movie,https://www.youtube.com/watch?v=hbGXqUumtqg,2018,N/A,17 May 2018,N/A,N/A,Josh Oreck,N/A,"Naveen Andrews, Doona Bae, Jamie Clayton, Tina Desai",N/A,English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BOTYwMGNhMGYtZWJjMy00ZjZiLThjOTItNmFlZTVkODk2YmI1XkEyXkFqcGdeQXVyODA1NjQ0OTY@._V1_SX300.jpg,N/A,8.9,1273,tt8483296,movie,N/A,
No Exit,https://www.youtube.com/watch?v=GFvupyiNEz0,2022,R,25 Feb 2022,95 min,"Drama, Mystery, Thriller",Damien Power,"Andrew Barrer, Gabriel Ferrari, Taylor Adams","Havana Rose Liu, Danny Ramirez, David Rysdahl","During a blizzard and stranded at an isolated highway rest stop in the mountains, a college student discovers a kidnapped child hidden in a car belonging to one of the people inside.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNGZiMzU4MmMtMzJhMS00ZWU0LWE1MzktZTVkY2MyYWYwNTBkXkEyXkFqcGc@._V1_SX300.jpg,54,6.1,37435,tt7550014,movie,N/A,
The Bob's Burgers Movie,https://www.youtube.com/watch?v=hldGGWN9HcI,2022,PG-13,27 May 2022,102 min,"Animation, Adventure, Comedy","Loren Bouchard, Bernard Derriman","Loren Bouchard, Nora Smith, Tony Gennaro","H. Jon Benjamin, Kristen Schaal, Dan Mintz","When a sinkhole in front of Bob's Burgers threatens the Belchers' plans for a successful summer, Bob and Linda try to keep their business going, while the kids attempt to save the restaurant by solving a mystery.","English, German",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BYjY3MzAzZTctNTMyYi00OWIzLTk1NjYtNTRhMDJiMzkyMTc1XkEyXkFqcGc@._V1_SX300.jpg,75,7,23202,tt7466442,movie,N/A,
Home Sweet Home Alone,https://www.youtube.com/watch?v=2BkVf2voCr0,2021,PG,12 Nov 2021,93 min,"Comedy, Crime, Family",Dan Mazer,"Mikey Day, Streeter Seidell, John Hughes","Ellie Kemper, Rob Delaney, Archie Yates",A married couple tries to steal back a valuable heirloom from a troublesome kid.,English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BODQ4NjUxZmItNGNlZC00ZGI1LWEyNDYtZjg5ZTk0ZGU5MTlhXkEyXkFqcGc@._V1_SX300.jpg,35,3.6,22097,tt11012066,movie,N/A,
"Steven Spielberg's ""West Side Story""",https://www.youtube.com/watch?v=A5GJLwWiYSg,2021,3214,N/A,N/A,N/A,N/A,N/A,"Ansel Elgort, Rachel Zegler",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BOWZkYzY2OGUtOGU4Ni00NmI0LTg2ZjAtZDA5OWE0YTNiZWRiXkEyXkFqcGc@._V1_.jpg,N/A,N/A,N/A,tt3581652,N/A,N/A,
Ron’s Gone Wrong,https://www.youtube.com/watch?v=8I8nMtzN05s,2021,PG,22 Oct 2021,107 min,"Animation, Adventure, Comedy","Sarah Smith, Jean-Philippe Vine, Octavio E. Rodriguez","Peter Baynham, Sarah Smith","Jack Dylan Grazer, Zach Galifianakis, Ed Helms","The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friend...",English,"United States, United Kingdom, India",10 nominations total,https://m.media-amazon.com/images/M/MV5BZDg1MzU2OGMtMDIyNi00YjUzLWIzNjMtZGY4OTM3ZmM0MzY4XkEyXkFqcGc@._V1_SX300.jpg,65,7.1,44091,tt7504818,movie,N/A,
The Last Duel,https://www.youtube.com/watch?v=mgygUwPJvYk,2021,R,15 Oct 2021,152 min,"Drama, History, Thriller",Ridley Scott,"Nicole Holofcener, Ben Affleck, Matt Damon","Matt Damon, Adam Driver, Jodie Comer",The Knight Jean de Carrouges must settle the dispute over his wife Marguerite by challenging his former friend to a duel to the death.,"English, German, French, Latin","United States, United Kingdom",5 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BZGZiNDFkNDgtNDlmNS00NzZmLTg4MmItMzJkYjdmMjJkZDliXkEyXkFqcGc@._V1_SX300.jpg,67,7.3,199418,tt4244994,movie,N/A,
Ron's Gone Wrong,https://www.youtube.com/watch?v=fCqGfjBSk0I,2021,PG,22 Oct 2021,107 min,"Animation, Adventure, Comedy","Sarah Smith, Jean-Philippe Vine, Octavio E. Rodriguez","Peter Baynham, Sarah Smith","Jack Dylan Grazer, Zach Galifianakis, Ed Helms","The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friend...",English,"United States, United Kingdom, India",10 nominations total,https://m.media-amazon.com/images/M/MV5BZDg1MzU2OGMtMDIyNi00YjUzLWIzNjMtZGY4OTM3ZmM0MzY4XkEyXkFqcGc@._V1_SX300.jpg,65,7.1,44091,tt7504818,movie,N/A,
The Empty Man,https://www.youtube.com/watch?v=tk6u9X1bW30,2020,R,23 Oct 2020,137 min,"Drama, Horror, Mystery",David Prior,"David Prior, Cullen Bunn","James Badge Dale, Marin Ireland, Sasha Frolova",A retired cop links mysterious disappearances to a mystical urban legend.,English,"United States, South Africa, France",1 nomination total,https://m.media-amazon.com/images/M/MV5BMzI3OWYwNTQtOWM1Yi00Zjc1LWJmOGItN2UzMTNmNmJmZjE3XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,46783,tt5867314,movie,N/A,
Everybody’s Talking About Jamie,https://www.youtube.com/watch?v=CpOeZw7xdfI,2021,PG-13,17 Sep 2021,115 min,"Biography, Comedy, Drama","Jonathan Butterell, Dan Gillespie Sells, Tom MacRae","Tom MacRae, Jonathan Butterell, Dan Gillespie Sells","Max Harwood, Lauren Patel, Sarah Lancashire","Jamie New is a 16-year-old who doesn't quite fit in. Instead of pursuing a traditional career, he dreams of becoming a drag queen. Supported by his mother and friends, Jamie overcomes discrimination and bullying to step into the s...",English,"United Kingdom, United States",Nominated for 1 BAFTA Award2 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BYWVkYzhkNzMtMGQzNC00NmNmLThkZTMtZTk0ZmM1M2U2MGI1XkEyXkFqcGc@._V1_SX300.jpg,62,6.6,7996,tt8635092,movie,N/A,
Free Guy,https://www.youtube.com/watch?v=JORN2hkXLyM,2021,PG-13,13 Aug 2021,115 min,"Action, Adventure, Comedy",Shawn Levy,"Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Taika Waititi","When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.","English, Japanese, German","United States, Canada",Nominated for 1 Oscar. 6 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BN2I0MGMxYjUtZTZiMS00MzMxLTkzNWYtMDUyZmUwY2ViYTljXkEyXkFqcGc@._V1_SX300.jpg,62,7.1,474029,tt6264654,movie,N/A,
Death on the Nile,https://www.youtube.com/watch?v=JM1U-Whb-P0,2022,PG-13,11 Feb 2022,127 min,"Crime, Drama, Mystery",Kenneth Branagh,"Michael Green, Agatha Christie","Tom Bateman, Annette Bening, Kenneth Branagh","While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.","English, French, German",United States,1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYjBkMTRkMmUtNGQ5Ni00YjkwLThhMmMtZjI1M2U2NzRhNjkwXkEyXkFqcGc@._V1_SX300.jpg,52,6.3,204033,tt7657566,movie,N/A,
The King's Man,https://www.youtube.com/watch?v=5zdBG-iGfes,2021,R,22 Dec 2021,131 min,"Action, Adventure, Thriller",Matthew Vaughn,"Matthew Vaughn, Karl Gajdusek, Mark Millar","Ralph Fiennes, Gemma Arterton, Rhys Ifans","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions of people.","English, Latin, German, French, Russian","United Kingdom, United States",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNjY3YTY3MGMtMjVmYS00ZmM3LWIxMDAtYWVhZTAyZDMwNmMwXkEyXkFqcGc@._V1_SX300.jpg,44,6.3,191255,tt6856242,movie,N/A,
The New Mutants,https://www.youtube.com/watch?v=W_vJhUAOFpI,2020,PG-13,28 Aug 2020,94 min,"Action, Horror, Mystery",Josh Boone,"Josh Boone, Knate Lee","Maisie Williams, Anya Taylor-Joy, Charlie Heaton","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","English, Portuguese, Latin",United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BZGVlMjBkYmMtZDhmYS00N2QyLWI2YTgtMDU2N2UwOWYzM2MxXkEyXkFqcGc@._V1_SX300.jpg,43,5.3,96983,tt4682266,movie,N/A,
The Woman in the Window,https://www.youtube.com/watch?v=J0hTmzISOlQ,2021,R,14 May 2021,100 min,"Crime, Drama, Mystery",Joe Wright,"Tracy Letts, A.J. Finn","Amy Adams, Gary Oldman, Anthony Mackie","An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",English,United States,8 nominations total,https://m.media-amazon.com/images/M/MV5BODI1YzhlZTMtZDNkYy00NDdhLWJiMDctYjU4YjZiYTM2YzRkXkEyXkFqcGc@._V1_SX300.jpg,41,5.7,87890,tt6111574,movie,N/A,
The Call of the Wild,https://www.youtube.com/watch?v=5P8R2zAhEwg,2020,PG,21 Feb 2020,100 min,"Adventure, Drama, Family",Chris Sanders,"Michael Green, Jack London","Harrison Ford, Omar Sy, Cara Gee",A sled dog struggles for survival in the wilds of the Yukon.,"English, French","United States, Canada",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYTNmNTBlYzUtNTFiNS00YmY4LWJiMWYtZTlmNmY3ODFlMTUxXkEyXkFqcGc@._V1_SX300.jpg,48,6.7,62487,tt7504726,movie,N/A,
Spies in Disguise,https://www.youtube.com/watch?v=A05s7OM-8Oc,2019,PG,25 Dec 2019,102 min,"Animation, Action, Adventure","Nick Bruno, Troy Quane","Lucas Martell, Cindy Davis, Brad Copeland","Rachel Brosnahan, Jarrett Bruno, Claire Crosby","When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.","English, Japanese, Spanish, Korean",United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BZDk1M2NiMjktMjJmMC00MWNiLThhM2MtNjZkZGM1M2Y5NTMxXkEyXkFqcGc@._V1_SX300.jpg,54,6.8,61390,tt5814534,movie,N/A,
FORD v FERRARI,https://www.youtube.com/watch?v=I3h9Z89U9ZA,2019,PG-13,15 Nov 2019,152 min,"Action, Biography, Drama",James Mangold,"Jez Butterworth, John-Henry Butterworth, Jason Keller","Matt Damon, Christian Bale, Jon Bernthal",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"English, Italian, French, Japanese",United States,Won 2 Oscars. 26 wins & 86 nominations total,https://m.media-amazon.com/images/M/MV5BOTBjNTEyNjYtYjdkNi00YzE5LTljYzUtZjVlYmYwZmJmZWYxXkEyXkFqcGc@._V1_SX300.jpg,81,8.1,546081,tt1950186,movie,N/A,
